payment_ts,account_id,method,amount_usd,status
2025-08-01,A100009,CARD,147.8,PAID
2025-08-16,A100009,WIRE,45.78,PAID
2025-08-31,A100009,CARD,133.72,PAID
2025-09-15,A100009,CARD,148.09,PAID
2025-09-30,A100009,INVOICE,121.75,PAID
2025-05-03,A100010,CARD,122.35,PAID
2025-05-18,A100010,INVOICE,114.89,PAID
2025-06-02,A100010,INVOICE,97.9,PAID
2025-06-17,A100010,CARD,165.12,PAID
2025-07-02,A100010,CARD,10.0,PAID
2025-07-17,A100010,WIRE,211.37,PAID
2025-08-01,A100010,CARD,115.35,PAID
2025-08-16,A100010,CARD,158.44,PAID
2025-08-31,A100010,CARD,129.31,PAID
2025-09-15,A100010,CARD,10.0,PAID
2025-09-30,A100010,CARD,184.98,PAID
2025-05-03,A100011,INVOICE,200.28,PAID
2025-05-18,A100011,CARD,99.81,PAID
2025-06-02,A100011,INVOICE,10.0,PAID
2025-06-17,A100011,CARD,33.05,PAID
2025-07-02,A100011,CARD,101.78,PAID
2025-07-17,A100011,INVOICE,122.83,PAID
2025-08-01,A100011,WIRE,172.89,PAID
2025-08-16,A100011,CARD,188.81,PAID
2025-08-31,A100011,CARD,127.66,PAID
2025-09-15,A100011,CARD,153.14,PAID
2025-09-30,A100011,INVOICE,53.94,PAID
2025-05-03,A100012,CARD,69.72,PAID
2025-05-18,A100012,INVOICE,68.69,PAID
2025-06-02,A100012,INVOICE,103.25,PAID
2025-06-17,A100012,INVOICE,91.88,PAID
2025-07-02,A100012,CARD,174.53,PAID
2025-07-17,A100012,INVOICE,97.46,PAID
2025-08-01,A100012,CARD,132.63,PAID
2025-08-16,A100012,WIRE,14.57,PAID
2025-08-31,A100012,CARD,146.45,PAID
2025-09-15,A100012,INVOICE,119.26,PAID
2025-09-30,A100012,INVOICE,165.39,PAID
2025-05-03,A100013,INVOICE,148.34,PAID
2025-05-18,A100013,INVOICE,62.89,PAID
2025-06-02,A100013,CARD,151.02,PAID
2025-06-17,A100013,WIRE,68.81,PAID
2025-07-02,A100013,INVOICE,97.2,PAID
2025-07-17,A100013,WIRE,142.28,PAID
2025-08-01,A100013,CARD,165.94,PAID
2025-08-16,A100013,CARD,13.99,PAID
2025-08-31,A100013,CARD,181.57,PAID
2025-09-15,A100013,WIRE,236.21,PAID
2025-09-30,A100013,CARD,10.0,PAID
2025-05-03,A100014,CARD,125.72,PAID
2025-05-18,A100014,INVOICE,10.0,PAID
2025-06-02,A100014,INVOICE,10.0,PAID
2025-06-17,A100014,CARD,185.35,PAID
2025-07-02,A100014,CARD,61.52,PAID
2025-07-17,A100014,CARD,92.14,PAID
2025-08-01,A100014,CARD,85.56,PAID
2025-08-16,A100014,CARD,98.01,PAID
2025-08-31,A100014,CARD,114.3,PAID
2025-09-15,A100014,INVOICE,21.12,PAID
2025-09-30,A100014,CARD,257.71,PAID
2025-05-03,A100015,CARD,91.22,PAID
2025-05-18,A100015,CARD,23.18,PAID
2025-06-02,A100015,INVOICE,172.66,PAID
2025-06-17,A100015,INVOICE,127.28,PAID
2025-07-02,A100015,INVOICE,194.51,PAID
2025-07-17,A100015,INVOICE,125.24,PAID
2025-08-01,A100015,CARD,80.85,PAID
2025-08-16,A100015,CARD,88.77,PAID
2025-08-31,A100015,INVOICE,172.05,PAID
2025-09-15,A100015,CARD,173.72,PAID
2025-09-30,A100015,INVOICE,166.74,PAID
2025-05-03,A100016,CARD,154.82,PAID
2025-05-18,A100016,INVOICE,224.92,PAID
2025-06-02,A100016,CARD,113.63,PAID
2025-06-17,A100016,INVOICE,34.36,PAID
2025-07-02,A100016,INVOICE,83.47,PAID
2025-07-17,A100016,CARD,63.99,PAID
2025-08-01,A100016,CARD,173.9,PAID
2025-08-16,A100016,INVOICE,30.72,PAID
2025-08-31,A100016,CARD,33.15,PAID
2025-09-15,A100016,CARD,127.31,PAID
2025-09-30,A100016,CARD,213.18,PAID
2025-05-03,A100017,CARD,184.17,PAID
2025-05-18,A100017,INVOICE,134.74,PAID
2025-06-02,A100017,CARD,187.79,PAID
2025-06-17,A100017,CARD,92.7,PAID
2025-07-02,A100017,WIRE,225.12,PAID
2025-07-17,A100017,CARD,30.32,PAID
2025-08-01,A100017,CARD,56.31,PAID
2025-08-16,A100017,INVOICE,159.96,PAID
2025-08-31,A100017,CARD,162.99,PAID
2025-09-15,A100017,CARD,215.01,PAID
2025-09-30,A100017,INVOICE,80.08,PAID
2025-05-03,A100018,INVOICE,190.89,PAID
2025-05-18,A100018,CARD,128.39,PAID
2025-06-02,A100018,WIRE,47.61,PAID
2025-06-17,A100018,WIRE,30.9,PAID
2025-07-02,A100018,CARD,96.23,PAID
2025-07-17,A100018,CARD,106.29,PAID
2025-08-01,A100018,CARD,21.4,PAID
2025-08-16,A100018,CARD,149.44,PAID
2025-08-31,A100018,INVOICE,158.98,PAID
2025-09-15,A100018,INVOICE,94.24,PAID
2025-09-30,A100018,CARD,108.12,PAID
2025-05-03,A100019,WIRE,185.88,PAID
2025-05-18,A100019,CARD,150.7,PAID
2025-06-02,A100019,CARD,152.66,PAID
2025-06-17,A100019,CARD,124.06,PAID
2025-07-02,A100019,CARD,125.26,PAID
2025-07-17,A100019,CARD,130.31,PAID
2025-08-01,A100019,CARD,51.01,PAID
2025-08-16,A100019,INVOICE,102.29,PAID
2025-08-31,A100019,CARD,132.8,PAID
2025-09-15,A100019,INVOICE,160.52,PAID
2025-09-30,A100019,INVOICE,152.57,PAID
2025-05-03,A100020,CARD,137.35,PAID
2025-05-18,A100020,CARD,111.19,PAID
2025-06-02,A100020,CARD,159.19,PAID
2025-06-17,A100020,INVOICE,158.85,PAID
2025-07-02,A100020,INVOICE,107.01,PAID
2025-07-17,A100020,CARD,107.24,PAID
2025-08-01,A100020,CARD,10.0,PAID
2025-08-16,A100020,INVOICE,241.32,PAID
2025-08-31,A100020,INVOICE,144.31,PAID
2025-09-15,A100020,CARD,170.95,PAID
2025-09-30,A100020,INVOICE,199.14,PAID
2025-05-03,A100021,CARD,11.84,PAID
2025-05-18,A100021,INVOICE,103.8,PAID
2025-06-02,A100021,CARD,96.8,PAID
2025-06-17,A100021,CARD,100.37,PAID
2025-07-02,A100021,CARD,52.38,PAID
2025-07-17,A100021,CARD,198.52,PAID
2025-08-01,A100021,WIRE,128.0,PAID
2025-08-16,A100021,CARD,126.39,PAID
2025-08-31,A100021,CARD,160.0,PAID
2025-09-15,A100021,CARD,10.0,PAID
2025-09-30,A100021,CARD,118.16,PAID
2025-05-03,A100022,CARD,172.47,PAID
2025-05-18,A100022,CARD,211.68,PAID
2025-06-02,A100022,INVOICE,141.81,PAID
2025-06-17,A100022,INVOICE,165.24,PAID
2025-07-02,A100022,CARD,163.72,PAID
2025-07-17,A100022,INVOICE,112.81,PAID
2025-08-01,A100022,CARD,136.48,PAID
2025-08-16,A100022,CARD,90.35,PAID
2025-08-31,A100022,CARD,182.08,PAID
2025-09-15,A100022,CARD,59.45,PAID
2025-09-30,A100022,CARD,70.65,PAID
2025-05-03,A100023,CARD,62.5,PAID
2025-05-18,A100023,CARD,93.36,PAID
2025-06-02,A100023,CARD,79.19,PAID
2025-06-17,A100023,WIRE,106.85,PAID
2025-07-02,A100023,INVOICE,122.4,PAID
2025-07-17,A100023,INVOICE,169.81,PAID
2025-08-01,A100023,CARD,120.45,PAID
2025-08-16,A100023,CARD,100.46,PAID
2025-08-31,A100023,INVOICE,89.72,PAID
2025-09-15,A100023,CARD,190.03,PAID
2025-09-30,A100023,INVOICE,129.62,PAID
2025-05-03,A100024,INVOICE,176.9,PAID
2025-05-18,A100024,INVOICE,21.65,PAID
2025-06-02,A100024,CARD,81.27,PAID
2025-06-17,A100024,CARD,171.9,PAID
2025-07-02,A100024,CARD,68.93,PAID
2025-07-17,A100024,INVOICE,175.2,PAID
2025-08-01,A100024,INVOICE,43.71,PAID
2025-08-16,A100024,WIRE,61.39,PAID
2025-08-31,A100024,CARD,99.59,PAID
2025-09-15,A100024,INVOICE,70.22,PAID
2025-09-30,A100024,WIRE,70.03,PAID
2025-05-03,A100025,CARD,188.84,PAID
2025-05-18,A100025,WIRE,67.49,PAID
2025-06-02,A100025,CARD,150.36,PAID
2025-06-17,A100025,INVOICE,164.11,PAID
2025-07-02,A100025,WIRE,53.02,PAID
2025-07-17,A100025,INVOICE,87.96,PAID
2025-08-01,A100025,CARD,65.71,PAID
2025-08-16,A100025,INVOICE,88.32,PAID
2025-08-31,A100025,CARD,216.06,PAID
2025-09-15,A100025,INVOICE,208.97,PAID
2025-09-30,A100025,INVOICE,187.85,PAID
2025-05-03,A100026,INVOICE,222.27,PAID
2025-05-18,A100026,INVOICE,152.68,PAID
2025-06-02,A100026,INVOICE,93.63,PAID
2025-06-17,A100026,WIRE,170.77,PAID
2025-07-02,A100026,CARD,195.47,PAID
2025-07-17,A100026,CARD,83.98,PAID
2025-08-01,A100026,CARD,201.4,PAID
2025-08-16,A100026,CARD,105.77,PAID
2025-08-31,A100026,INVOICE,65.77,PAID
2025-09-15,A100026,CARD,77.23,PAID
2025-09-30,A100026,CARD,108.64,PAID
2025-05-03,A100027,CARD,152.07,PAID
2025-05-18,A100027,CARD,115.07,PAID
2025-06-02,A100027,INVOICE,150.0,PAID
2025-06-17,A100027,CARD,246.7,PAID
2025-07-02,A100027,CARD,10.0,PAID
2025-07-17,A100027,INVOICE,138.86,PAID
2025-08-01,A100027,CARD,124.59,PAID
2025-08-16,A100027,INVOICE,98.43,PAID
2025-08-31,A100027,INVOICE,10.0,PAID
2025-09-15,A100027,CARD,91.23,PAID
2025-09-30,A100027,CARD,167.3,PAID
2025-05-03,A100028,CARD,143.62,PAID
2025-05-18,A100028,CARD,175.46,PAID
2025-06-02,A100028,CARD,117.53,PAID
2025-06-17,A100028,CARD,10.0,PAID
2025-07-02,A100028,CARD,69.5,PAID
2025-07-17,A100028,INVOICE,34.66,PAID
2025-08-01,A100028,INVOICE,194.27,PAID
2025-08-16,A100028,CARD,10.0,PAID
2025-08-31,A100028,CARD,149.4,PAID
2025-09-15,A100028,CARD,249.22,PAID
2025-09-30,A100028,CARD,10.0,PAID
2025-05-03,A100029,INVOICE,74.55,PAID
2025-05-18,A100029,INVOICE,146.51,PAID
2025-06-02,A100029,CARD,63.61,PAID
2025-06-17,A100029,CARD,36.36,PAID
2025-07-02,A100029,INVOICE,71.07,PAID
2025-07-17,A100029,INVOICE,102.11,PAID
2025-08-01,A100029,INVOICE,104.72,PAID
2025-08-16,A100029,CARD,126.47,PAID
2025-08-31,A100029,CARD,10.0,PAID
2025-09-15,A100029,CARD,189.52,PAID
2025-09-30,A100029,INVOICE,64.74,PAID
2025-05-03,A100030,CARD,188.09,PAID
2025-05-18,A100030,CARD,255.35,PAID
2025-06-02,A100030,CARD,131.22,PAID
2025-06-17,A100030,CARD,177.24,PAID
2025-07-02,A100030,INVOICE,193.02,PAID
2025-07-17,A100030,CARD,187.08,PAID
2025-08-01,A100030,INVOICE,63.86,PAID
2025-08-16,A100030,WIRE,33.0,PAID
2025-08-31,A100030,CARD,201.49,PAID
2025-09-15,A100030,CARD,10.0,PAID
2025-09-30,A100030,CARD,131.46,PAID
2025-05-03,A100031,INVOICE,97.78,PAID
2025-05-18,A100031,INVOICE,188.5,PAID
2025-06-02,A100031,INVOICE,106.67,PAID
2025-06-17,A100031,INVOICE,207.09,PAID
2025-07-02,A100031,CARD,133.13,PAID
2025-07-17,A100031,INVOICE,145.06,PAID
2025-08-01,A100031,CARD,113.58,PAID
2025-08-16,A100031,CARD,62.09,PAID
2025-08-31,A100031,WIRE,68.4,PAID
2025-09-15,A100031,CARD,10.0,PAID
2025-09-30,A100031,INVOICE,62.29,PAID
2025-05-03,A100032,INVOICE,113.93,PAID
2025-05-18,A100032,WIRE,135.72,PAID
2025-06-02,A100032,CARD,10.0,PAID
2025-06-17,A100032,CARD,116.69,PAID
2025-07-02,A100032,WIRE,184.06,PAID
2025-07-17,A100032,CARD,55.65,PAID
2025-08-01,A100032,CARD,101.43,PAID
2025-08-16,A100032,CARD,41.46,PAID
2025-08-31,A100032,CARD,82.78,PAID
2025-09-15,A100032,CARD,10.0,PAID
2025-09-30,A100032,CARD,164.9,PAID
2025-05-03,A100033,CARD,30.94,PAID
2025-05-18,A100033,INVOICE,75.56,PAID
2025-06-02,A100033,INVOICE,83.17,PAID
2025-06-17,A100033,CARD,90.45,PAID
2025-07-02,A100033,CARD,93.62,PAID
2025-07-17,A100033,CARD,174.69,PAID
2025-08-01,A100033,CARD,129.33,PAID
2025-08-16,A100033,WIRE,97.3,PAID
2025-08-31,A100033,CARD,270.21,PAID
2025-09-15,A100033,INVOICE,146.08,PAID
2025-09-30,A100033,WIRE,110.96,PAID
2025-05-03,A100034,CARD,269.21,PAID
2025-05-18,A100034,CARD,114.17,PAID
2025-06-02,A100034,CARD,89.42,PAID
2025-06-17,A100034,CARD,125.19,PAID
2025-07-02,A100034,INVOICE,52.88,PAID
2025-07-17,A100034,CARD,10.0,PAID
2025-08-01,A100034,CARD,21.21,PAID
2025-08-16,A100034,INVOICE,150.32,PAID
2025-08-31,A100034,INVOICE,36.63,PAID
2025-09-15,A100034,INVOICE,144.15,PAID
2025-09-30,A100034,INVOICE,131.26,PAID
2025-05-03,A100035,INVOICE,156.27,PAID
2025-05-18,A100035,CARD,139.1,PAID
2025-06-02,A100035,INVOICE,81.67,PAID
2025-06-17,A100035,CARD,276.15,PAID
2025-07-02,A100035,INVOICE,81.61,PAID
2025-07-17,A100035,CARD,91.4,PAID
2025-08-01,A100035,CARD,84.65,PAID
2025-08-16,A100035,CARD,37.96,PAID
2025-08-31,A100035,INVOICE,85.54,PAID
2025-09-15,A100035,CARD,191.58,PAID
2025-09-30,A100035,INVOICE,64.12,PAID
2025-05-03,A100036,CARD,187.75,PAID
2025-05-18,A100036,INVOICE,167.0,PAID
2025-06-02,A100036,INVOICE,199.76,PAID
2025-06-17,A100036,WIRE,20.4,PAID
2025-07-02,A100036,CARD,170.04,PAID
2025-07-17,A100036,CARD,115.46,PAID
2025-08-01,A100036,CARD,60.96,PAID
2025-08-16,A100036,INVOICE,54.49,PAID
2025-08-31,A100036,CARD,119.29,PAID
2025-09-15,A100036,INVOICE,104.39,PAID
2025-09-30,A100036,INVOICE,171.42,PAID
2025-05-03,A100037,WIRE,177.23,PAID
2025-05-18,A100037,CARD,183.88,PAID
2025-06-02,A100037,CARD,105.3,PAID
2025-06-17,A100037,CARD,172.71,PAID
2025-07-02,A100037,INVOICE,114.61,PAID
2025-07-17,A100037,CARD,90.52,PAID
2025-08-01,A100037,CARD,176.76,PAID
2025-08-16,A100037,CARD,175.35,PAID
2025-08-31,A100037,CARD,41.71,PAID
2025-09-15,A100037,CARD,169.68,PAID
2025-09-30,A100037,INVOICE,61.22,PAID
2025-05-03,A100038,CARD,140.64,PAID
2025-05-18,A100038,WIRE,115.14,PAID
2025-06-02,A100038,INVOICE,125.26,PAID
2025-06-17,A100038,INVOICE,124.98,PAID
2025-07-02,A100038,CARD,162.34,PAID
2025-07-17,A100038,INVOICE,116.22,PAID
2025-08-01,A100038,INVOICE,171.64,PAID
2025-08-16,A100038,CARD,153.85,PAID
2025-08-31,A100038,INVOICE,194.0,PAID
2025-09-15,A100038,INVOICE,127.26,PAID
2025-09-30,A100038,CARD,47.04,PAID
2025-05-03,A100039,CARD,143.63,PAID
2025-05-18,A100039,INVOICE,73.21,PAID
2025-06-02,A100039,CARD,11.97,PAID
2025-06-17,A100039,INVOICE,117.68,PAID
2025-07-02,A100039,CARD,233.35,PAID
2025-07-17,A100039,INVOICE,113.48,PAID
2025-08-01,A100039,INVOICE,163.88,PAID
2025-08-16,A100039,INVOICE,112.56,PAID
2025-08-31,A100039,CARD,195.47,PAID
2025-09-15,A100039,INVOICE,209.98,PAID
2025-09-30,A100039,CARD,121.1,PAID
2025-05-03,A100040,WIRE,179.44,PAID
2025-05-18,A100040,WIRE,29.7,PAID
2025-06-02,A100040,CARD,90.31,PAID
2025-06-17,A100040,CARD,160.96,PAID
2025-07-02,A100040,CARD,83.22,PAID
2025-07-17,A100040,CARD,114.99,PAID
2025-08-01,A100040,CARD,40.13,PAID
2025-08-16,A100040,CARD,226.19,PAID
2025-08-31,A100040,CARD,188.12,PAID
2025-09-15,A100040,CARD,73.49,PAID
2025-09-30,A100040,INVOICE,47.27,PAID
2025-05-03,A100041,CARD,160.68,PAID
2025-05-18,A100041,CARD,81.99,PAID
2025-06-02,A100041,CARD,92.22,PAID
2025-06-17,A100041,INVOICE,328.29,PAID
2025-07-02,A100041,CARD,70.32,PAID
2025-07-17,A100041,CARD,135.99,PAID
2025-08-01,A100041,CARD,121.04,PAID
2025-08-16,A100041,INVOICE,102.16,PAID
2025-08-31,A100041,CARD,188.19,PAID
2025-09-15,A100041,INVOICE,116.78,PAID
2025-09-30,A100041,CARD,107.69,PAID
2025-05-03,A100042,CARD,120.9,PAID
2025-05-18,A100042,INVOICE,119.93,PAID
2025-06-02,A100042,INVOICE,151.63,PAID
2025-06-17,A100042,CARD,123.58,PAID
2025-07-02,A100042,INVOICE,35.02,PAID
2025-07-17,A100042,CARD,61.4,PAID
2025-08-01,A100042,CARD,119.05,PAID
2025-08-16,A100042,INVOICE,10.0,PAID
2025-08-31,A100042,CARD,90.54,PAID
2025-09-15,A100042,INVOICE,146.0,PAID
2025-09-30,A100042,CARD,143.63,PAID
2025-05-03,A100043,CARD,144.34,PAID
2025-05-18,A100043,CARD,185.49,PAID
2025-06-02,A100043,WIRE,124.14,PAID
2025-06-17,A100043,CARD,93.99,PAID
2025-07-02,A100043,CARD,73.83,PAID
2025-07-17,A100043,CARD,105.85,PAID
2025-08-01,A100043,CARD,180.35,PAID
2025-08-16,A100043,CARD,102.46,PAID
2025-08-31,A100043,CARD,117.13,PAID
2025-09-15,A100043,INVOICE,221.89,PAID
2025-09-30,A100043,INVOICE,97.25,PAID
2025-05-03,A100044,CARD,123.72,PAID
2025-05-18,A100044,CARD,62.51,PAID
2025-06-02,A100044,INVOICE,58.77,PAID
2025-06-17,A100044,CARD,87.5,PAID
2025-07-02,A100044,CARD,203.47,PAID
2025-07-17,A100044,WIRE,157.81,PAID
2025-08-01,A100044,CARD,130.13,PAID
2025-08-16,A100044,CARD,99.84,PAID
2025-08-31,A100044,CARD,10.0,PAID
2025-09-15,A100044,INVOICE,43.48,PAID
2025-09-30,A100044,CARD,88.52,PAID
2025-05-03,A100045,CARD,181.26,PAID
2025-05-18,A100045,INVOICE,54.12,PAID
2025-06-02,A100045,INVOICE,137.61,PAID
2025-06-17,A100045,WIRE,210.49,PAID
2025-07-02,A100045,WIRE,153.24,PAID
2025-07-17,A100045,CARD,134.94,PAID
2025-08-01,A100045,CARD,266.0,PAID
2025-08-16,A100045,WIRE,224.52,PAID
2025-08-31,A100045,CARD,111.09,PAID
2025-09-15,A100045,INVOICE,77.58,PAID
2025-09-30,A100045,CARD,80.5,PAID
2025-05-03,A100046,INVOICE,10.0,PAID
2025-05-18,A100046,CARD,240.58,PAID
2025-06-02,A100046,INVOICE,46.22,PAID
2025-06-17,A100046,INVOICE,163.42,PAID
2025-07-02,A100046,INVOICE,78.49,PAID
2025-07-17,A100046,WIRE,97.04,PAID
2025-08-01,A100046,CARD,45.9,PAID
2025-08-16,A100046,INVOICE,165.85,PAID
2025-08-31,A100046,CARD,10.0,PAID
2025-09-15,A100046,CARD,201.4,PAID
2025-09-30,A100046,CARD,17.8,PAID
2025-05-03,A100047,CARD,56.78,PAID
2025-05-18,A100047,CARD,66.6,PAID
2025-06-02,A100047,WIRE,174.84,PAID
2025-06-17,A100047,INVOICE,191.24,PAID
2025-07-02,A100047,CARD,176.97,PAID
2025-07-17,A100047,INVOICE,91.27,PAID
2025-08-01,A100047,CARD,237.75,PAID
2025-08-16,A100047,INVOICE,153.37,PAID
2025-08-31,A100047,CARD,145.97,PAID
2025-09-15,A100047,CARD,175.86,PAID
2025-09-30,A100047,CARD,100.14,PAID
2025-05-03,A100048,CARD,169.05,PAID
2025-05-18,A100048,INVOICE,134.18,PAID
2025-06-02,A100048,INVOICE,207.47,PAID
2025-06-17,A100048,INVOICE,30.67,PAID
2025-07-02,A100048,INVOICE,100.95,PAID
2025-07-17,A100048,INVOICE,33.01,PAID
2025-08-01,A100048,INVOICE,226.32,PAID
2025-08-16,A100048,CARD,159.43,PAID
2025-08-31,A100048,INVOICE,150.03,PAID
2025-09-15,A100048,CARD,139.31,PAID
2025-09-30,A100048,INVOICE,148.19,PAID
2025-05-03,A100049,WIRE,265.66,PAID
2025-05-18,A100049,CARD,125.25,PAID
2025-06-02,A100049,INVOICE,221.72,PAID
2025-06-17,A100049,CARD,194.23,PAID
2025-07-02,A100049,CARD,73.0,PAID
2025-07-17,A100049,CARD,110.55,PAID
2025-08-01,A100049,INVOICE,10.0,PAID
2025-08-16,A100049,CARD,167.22,PAID
2025-08-31,A100049,CARD,134.72,PAID
2025-09-15,A100049,CARD,65.16,PAID
2025-09-30,A100049,CARD,105.86,PAID
2025-05-03,A100050,CARD,78.77,PAID
2025-05-18,A100050,INVOICE,147.67,PAID
2025-06-02,A100050,WIRE,67.19,PAID
2025-06-17,A100050,CARD,132.9,PAID
2025-07-02,A100050,CARD,110.19,PAID
2025-07-17,A100050,CARD,98.03,PAID
2025-08-01,A100050,CARD,175.34,PAID
2025-08-16,A100050,CARD,131.09,PAID
2025-08-31,A100050,CARD,20.33,PAID
2025-09-15,A100050,CARD,109.25,PAID
2025-09-30,A100050,WIRE,10.0,PAID
2025-05-03,A100051,CARD,239.06,PAID
2025-05-18,A100051,WIRE,38.08,PAID
2025-06-02,A100051,INVOICE,101.06,PAID
2025-06-17,A100051,INVOICE,157.25,PAID
2025-07-02,A100051,WIRE,116.94,PAID
2025-07-17,A100051,INVOICE,92.78,PAID
2025-08-01,A100051,WIRE,133.18,PAID
2025-08-16,A100051,CARD,158.45,PAID
2025-08-31,A100051,CARD,82.46,PAID
2025-09-15,A100051,INVOICE,105.3,PAID
2025-09-30,A100051,CARD,81.71,PAID
2025-05-03,A100052,WIRE,183.32,PAID
2025-05-18,A100052,CARD,32.25,PAID
2025-06-02,A100052,CARD,91.49,PAID
2025-06-17,A100052,INVOICE,88.55,PAID
2025-07-02,A100052,CARD,120.22,PAID
2025-07-17,A100052,INVOICE,124.72,PAID
2025-08-01,A100052,CARD,41.56,PAID
2025-08-16,A100052,CARD,148.5,PAID
2025-08-31,A100052,CARD,105.68,PAID
2025-09-15,A100052,CARD,156.94,PAID
2025-09-30,A100052,INVOICE,121.56,PAID
2025-05-03,A100053,CARD,68.34,PAID
2025-05-18,A100053,CARD,89.58,PAID
2025-06-02,A100053,INVOICE,98.16,PAID
2025-06-17,A100053,INVOICE,200.3,PAID
